idx,OP1_Type,OP2_Type,OP1,OP2,S,Sc,F1,F2,F1_label,F2_label,Notes
22,NEG,QD,didn't,all,I didn't like all the books on sale,I disliked all the books on sale,; I enjoyed none of them.,; I enjoyed only a few of them.,OP2_wide,OP1_wide,
23,NEG,NMR,didn't,two,I didn't travel to two ski resorts this summer,I avoided two resorts this summer,even though I was supposed to go to them.,because I didn't go anywhere.,OP2_wide,OP1_wide,
24,QA,IND,sometimes,a/an,I sometimes see a carpenter from my window,I saw a carpenter from my window,and I'm actually friends with that carpenter.,but it's a different one each time.,OP2_wide,OP1_wide,
25,QA,QD,sometimes,a few,I sometimes eat a few flavours from St Viateur,I ate a few flavours from St Viateur,because I really like those flavours.,and it's different flavours each time.,OP2_wide,OP1_wide,
26,QA,QD,sometimes,most,I sometimes like most songs on Mario's playlist,I liked most songs on Mario's playlist,"because they're hip-hop songs, and now and then I enjoy hip-hop.",even though it's a different set of songs each time.,OP2_wide,OP1_wide,
27,QA,QD,occasionally,all,I occasionally dance with all my siblings,I danced with all my siblings,together on New Year's Eve.,although each time I choose a different one.,OP2_wide,OP1_wide,
28,QA,NMR,occasionally,two,I occasionally consult two dentists,I consulted two dentists,since I trust the two dentists.,although it's a different pair of dentists each time.,OP2_wide,OP1_wide,
29,QA,IND,usually,a/an,I usually hammer a wall in the morning,I hammered a wall in the morning,because I'm trying to damage that wall.,but it's a different wall each time.,OP2_wide,OP1_wide,
30,QA,QD,usually,some,I usually dust some shelves at home,I dusted some shelves at home,because I enjoy cleaning those shelves.,although it's a different set of shelves each time.,OP2_wide,OP1_wide,
31,QA,QD,frequently,most,I frequently greet most people in my lab,I greeted most people in my lab,since I like them even outside work.,even though it's a different set of people each time.,OP2_wide,OP1_wide,
32,QA,QD,often,every,I often drink every bottle in the shared fridge,I drank every bottle in the shared fridge,as I like those specific drinks.,despite the fact that it's a different set of drinks each time.,OP2_wide,OP1_wide,
33,QA,NMR,generally,two,I generally spar with two boxers,I sparred with two boxers,because the two boxers are good training partners.,although it's a different pair of boxers each time.,OP2_wide,OP1_wide,
34,QA,IND,always,a/an,I always wear a jacket before going out,I wore a jacket before going out,as it's my favourite one.,although it's a different one each time.,OP2_wide,OP1_wide,
35,QA,QD,always,some,I always rent some tools before climbing,I rented some tools before climbing,since I find those tools helpful.,although it's a different set of tools each time.,OP2_wide,OP1_wide,
36,QA,QD,always,most,I always drink with most people I play chess against,I drank with most people I play chess against,because they happen to also be good friends of mine.,even though it's a different set of people each time.,OP2_wide,OP1_wide,
37,QA,QD,always,all,NA,NA,NA,NA,NA,NA,"Always + ALL is effectively ALL + ALL, no ambiguity..."
38,QA,NMR,always,four,I always buy four lamps from IKEA,I bought four lamps from IKEA,because I love those four designs.,but it's a different four each time.,OP2_wide,OP1_wide,
39,QD,IND,some,a/an,Some farmers own a donkey,Some farmers own this donkey,and the donkey is happy.,and their donkeys are happy.,OP2_wide,OP1_wide,
40,QD,QD,some,a few,Some local guitarists play with a few backing vocalists,Some local guitarists play with these backing vocalists,as the backing vocalists are talented.,and each set of backing vocalists is talented.,OP2_wide,OP1_wide,
41,QD,QD,a few,most,A few people own most investment stocks,A few people own these investment stocks,"because although everyone wants to buy them, no one else can afford to.","because everyone wants to buy them, and everyone can afford to.",OP1_wide,OP2_wide,
42,QD,QD,a few,every,A few kitchens make food for every local orphanage,A few kitchens make food for these local orphanages,since we don't have enough kitchens for the number of orphanages.,since we have way too many kitchens for the number of orphanages.,OP1_wide,OP2_wide,
43,QD,NMR,some,three ,Some textbooks cite three authors on colonialism,Some textbooks cite these three authors on colonialism,because the three of them are highly regarded.,and each trio of authors is well-respected.,OP2_wide,OP1_wide,
44,QD,IND,most,a/an,Most fast-food chains exclusively sell a brand of soda,Most fast-food chains exclusively sell this brand of soda,because it's a popular brand of soda.,"and in each case, the brand of soda is popular.",OP2_wide,OP1_wide,
45,QD,QD,most,some,Most horses search for some flowers,Most horses search for these flowers,because the flowers are very fragrant.,and each set of flowers is very fragrant.,OP2_wide,OP1_wide,
46,QD,QD,most,most,NA,NA,NA,NA,NA,NA,"most + most, no ambiguity..."
47,QD,QD,most,all,Most T-shirts are made by all manufacturers,Most T-shirts are made by these manufacturers,as it's profitable for every manufacturer to make a wide-range of T-shirts.,while some other T-shirts are produced under exclusive licenses.,OP2_wide,OP1_wide,
48,QD,NMR,most,two,Most graduate students shop from two thrift stores,Most graduate students shop from these two thrift stores,and I'm sure the two thrift stores offer great deals.,and I'm sure each pair of thrift stores offers great deals.,OP2_wide,OP1_wide,
49,QD,IND,every,a/an,Every laptop is facing a glitch,Every laptop is facing this glitch,and the glitch is causing major issues to users.,and each glitch is causing major issues to users.,OP2_wide,OP1_wide,
50,QD,QD,all,a few,All urban planners eat a few mangoes,All urban planners eat just these few mangoes,because we don't have enough mangoes to go around.,because we have more than enough mangoes to go around.,OP2_wide,OP1_wide,
51,QD,QD,every,most,You find every animal from The Lion King in most zoos,You find every animal from The Lion King in this zoo,but don't expect to see all of them in the same zoo.,but other zoos each only have half of them.,OP1_wide,OP2_wide,
52,QD,QD,all,all,NA,NA,NA,NA,NA,NA,"all + all, no ambiguity..."
53,QD,NMR,all,two,All students are supervised by two professors,All students are supervised by these two professors,since we don't have enough professors.,since we have more than enough professors.,OP2_wide,OP1_wide,
